File created to show saturation of packages in BS'es 
55017000	5	5	6	6	1	6	3	5	6	4	
55062000	5	5	6	6	0	6	3	6	6	5	
55080000	6	5	6	6	1	6	0	6	6	5	
55109000	0	6	6	6	3	6	3	6	6	5	
55144000	2	6	6	7	3	7	4	6	2	5	
55167000	2	6	6	7	0	7	4	6	2	5	
55187000	3	6	6	7	1	7	4	6	0	6	
55220000	5	6	6	7	3	7	3	6	0	6	
55243000	5	6	6	7	4	7	3	6	1	1	
55262000	5	6	6	7	4	7	1	6	1	3	
55294000	5	6	6	7	2	7	1	6	2	4	
55323000	5	7	7	7	3	7	1	6	0	5	
55338000	0	7	7	7	4	7	2	6	1	5	
55364000	1	7	7	7	0	7	3	6	2	5	
55415000	2	7	7	7	2	7	2	6	4	6	
55431000	0	7	7	7	0	7	2	6	4	6	
55441000	0	7	7	7	0	7	2	6	4	6	
55508000	0	7	7	0	4	7	4	7	5	7	
55557000	2	7	1	1	5	7	4	7	6	2	
55579000	4	7	2	1	5	7	4	7	6	3	
55619000	4	7	3	2	6	7	0	7	6	4	
55686000	5	7	5	3	7	0	3	7	7	5	
55715000	5	7	5	4	7	0	2	7	7	5	
55741000	6	7	5	1	7	1	4	7	7	5	
55791000	6	7	5	2	7	4	6	7	7	1	
55806000	6	0	5	3	7	4	7	7	7	1	
55825000	6	0	5	3	7	0	7	7	7	1	
55859000	2	3	6	2	7	1	7	7	7	2	
55900000	3	5	6	3	0	2	0	7	7	2	
55929000	5	5	6	4	0	0	1	7	7	3	
55955000	5	2	6	4	1	0	1	7	7	3	
55996000	6	4	6	5	3	0	2	7	7	4	
56026000	6	5	6	2	5	2	3	7	7	4	
56040000	0	5	6	2	5	0	3	7	7	4	
56069000	0	5	6	3	6	3	4	7	7	5	
56102000	1	2	6	4	6	4	4	7	7	5	
56125000	0	2	6	4	0	5	4	7	7	5	
56169000	4	3	6	1	2	6	5	7	7	5	
56185000	4	3	6	0	2	6	5	7	7	5	
56201000	5	0	6	0	0	6	5	7	7	5	
56219000	5	0	6	0	0	6	5	7	7	5	
56248000	6	3	0	1	1	7	5	7	7	6	
56273000	6	4	1	3	0	7	5	7	7	6	
56306000	7	5	1	4	2	7	5	7	7	6	
56316000	7	0	1	4	2	7	5	7	7	6	
56336000	7	0	0	4	0	7	5	7	7	6	
56387000	1	3	2	0	3	7	6	7	7	6	
56449000	3	4	7	3	4	1	6	7	0	6	
56502000	5	5	7	5	5	0	6	0	2	6	
56506000	5	5	0	5	5	0	6	0	2	6	
56561000	5	7	3	2	5	1	6	3	4	6	
56588000	5	7	4	0	5	0	6	4	4	7	
56616000	6	7	5	3	6	1	2	3	4	7	
56666000	6	7	6	1	6	4	3	7	5	7	
56674000	6	7	6	0	6	4	3	7	5	7	
56720000	6	7	6	3	6	5	4	7	5	7	
56743000	6	7	6	3	6	5	4	0	5	7	
56764000	6	7	6	4	6	5	4	0	5	7	
56781000	0	7	7	4	7	0	4	0	5	7	
56800000	0	7	7	4	7	0	5	0	5	7	
56858000	0	7	7	5	7	3	6	1	5	7	
56899000	1	7	7	6	7	3	6	2	5	0	
56925000	0	7	7	6	7	0	6	3	5	1	
56940000	0	7	7	6	7	0	6	3	0	0	
56985000	3	7	7	6	7	0	6	4	2	1	
56992000	3	7	0	6	7	0	6	4	2	0	
57029000	4	7	3	6	7	0	6	4	0	2	
57070000	5	7	6	6	1	0	6	1	1	3	
57116000	5	7	7	6	0	0	6	3	2	4	
57129000	5	7	7	6	0	0	6	3	2	4	
57173000	5	7	7	1	2	0	7	5	1	4	
57233000	6	0	1	3	4	1	7	6	4	5	
57268000	6	2	1	5	4	2	7	6	4	5	
57290000	6	2	0	5	4	0	7	6	4	5	
57316000	6	3	1	5	4	0	7	6	1	5	
57359000	6	3	3	6	3	2	7	7	0	5	
57388000	6	1	3	6	4	3	7	7	0	6	
57437000	6	3	3	7	5	3	7	7	4	6	
57453000	6	4	0	7	5	4	7	7	4	6	
57469000	6	4	0	7	5	4	7	7	4	6	
57497000	6	5	1	7	6	4	7	7	5	6	
57515000	0	5	2	7	6	4	7	7	1	6	
57554000	2	6	3	7	0	4	7	7	4	7	
57597000	3	7	4	2	1	6	7	7	6	7	
57638000	4	1	3	3	2	6	0	7	7	7	
57662000	4	0	3	3	3	6	0	1	7	7	
57697000	4	0	5	3	2	6	1	1	7	7	
57752000	1	2	6	4	4	6	3	4	1	7	
57775000	2	3	6	4	4	6	4	5	0	7	
57803000	2	1	6	4	4	6	5	1	1	7	
57828000	3	1	6	5	5	6	0	2	2	7	
57869000	2	3	6	6	5	6	0	4	3	7	
57883000	2	4	7	6	5	6	1	4	0	7	
57930000	2	6	7	6	5	6	4	5	3	1	
57982000	3	7	7	6	5	7	5	6	1	4	
58016000	3	7	1	6	6	7	1	6	2	4	
58038000	4	7	1	6	6	7	3	7	1	0	
